nl Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
beloond	reward	1	1	1	1	0	1	1	1	1
marktsegment	market	0	0	0	1	1	1	1	0	1
bekentenis	represent	0	1	0	1	0	1	1	0	0
controlecampagne	campaign	0	0	1	1	1	1	1	-1	1
basisloon	wage	0	1	1	1	1	1	1	0	1
beloont	reward	1	1	1	1	0	1	1	1	1
gecompliceerdere	complicate	0	-1	0	-1	0	1	0	0	0
dealer	level	0	1	1	1	1	0	1	0	1
interneringskampen	camp	0	0	1	0	1	1	1	0	1
alarmerende	alarm	0	0	0	-1	0	1	1	-1	0
lappendeken	have	1	1	1	0	0	1	1	0	1
protesten	protest	1	0	1	1	0	1	1	0	1
actor	play	1	1	1	1	1	1	1	0	1
-deelname	enable	1	1	0	1	1	1	1	1	0
uitdenken	devise	1	1	1	1	1	1	1	0	1
familieaangelegenheden	be	0	1	0	0	0	0	1	0	1
synthetische	take	1	1	1	0	1	1	1	0	1
scheepvaartemissies	ship	1	0	1	1	0	1	1	0	1
begrotingsprogramma	contain	0	0	0	0	0	0	1	0	0
schets	outline	1	1	1	1	1	1	1	0	1
ruiming	slaughter	0	-1	-1	-1	0	1	0	-1	1
persmedewerker	ask	0	0	0	0	1	1	1	0	0
passagierslijsten	list	0	0	0	1	0	0	1	0	1
behandelingen	care	1	1	1	1	0	1	1	0	1
Gueï	perpetrate	0	0	-1	-1	0	1	1	0	1
Duchambe	bridge	0	0	0	1	0	1	1	0	1
euroland	zone	0	0	0	0	0	0	1	0	0
staatsgeheim	state	0	1	1	1	0	1	1	0	0
prospectief	be	0	1	0	0	0	0	1	0	1
abdicatie	deny	0	0	-1	-1	0	1	1	0	-1
voortwerken	work	1	1	1	1	0	1	1	0	1
risicogrondstoffen	risk	-1	0	-1	0	-1	0	1	0	-1
overhemden	write	1	1	1	1	1	1	1	0	1
-bankbiljetten	note	0	0	0	0	0	0	1	0	0
recyclingsmogelijkheden	recycle	0	0	1	1	1	1	0	0	1
speelgoed	be	0	1	0	0	0	0	1	0	1
vakkennis	bring	0	0	1	1	0	0	1	0	0
Borndiep	become	0	0	0	0	0	0	1	0	0
schrikbeelden	scare	0	-1	0	-1	0	1	0	-1	0
trok	withdraw	0	0	0	-1	0	1	1	0	0
schriftelijk.	write	1	1	1	1	1	1	1	0	1
weldaden	benefit	1	1	0	1	1	1	1	1	1
erosie	erode	0	-1	0	-1	0	1	0	0	0
gemompel	dissent	0	0	-1	-1	0	1	1	0	1
voorgestelde	propose	0	1	1	1	0	0	1	0	1
boerenbevolking	farm	0	1	1	1	1	1	1	0	1
timmerhout	represent	0	1	0	1	0	1	1	0	0
grensbescherming	border	0	0	0	0	0	0	0	0	0
fokkerij	breed	-1	-1	0	1	0	0	0	0	0
2000-2004	be	0	1	0	0	0	0	1	0	1
2000-2005	outline	1	1	1	1	1	1	1	0	1
2000-2006	limit	0	0	0	-1	0	1	1	0	0
2000-2007	field	0	0	1	1	1	1	1	0	0
geschiedkundig	edit	0	0	1	1	1	1	1	0	1
2000-2001	receive	1	1	1	0	1	1	1	0	1
2000-2002	calculate	0	1	0	0	0	0	1	0	0
2000-2003	restrict	0	0	-1	-1	0	1	1	0	1
uitputtend	detail	0	0	0	1	0	0	1	0	0
vet	word	0	1	0	0	0	0	1	0	0
onderwerp	subject	0	0	1	1	0	1	1	0	1
ver	go	0	0	0	0	0	0	1	0	0
beleefd	experience	0	1	-1	0	-1	0	1	0	-1
mokerslag	blow	0	0	0	0	0	0	1	0	0
uitgebracht	issue	0	0	0	1	0	1	1	0	0
crisisbeheersingstroepen	force	0	0	0	-1	0	1	0	-1	0
stabiliteitswet	own	0	1	1	1	1	1	1	0	1
klachtenbehandeling	handle	0	1	0	1	0	1	1	0	1
vee	farm	0	1	1	1	1	1	1	0	1
invoeging	insert	0	1	1	1	0	0	1	0	1
werkgelegenheidsplan	plan	1	1	1	1	1	1	1	0	1
ven	matter	0	0	0	-1	0	1	1	0	0
Santorini	give	0	1	1	0	0	0	1	0	1
vel	piece	0	0	0	0	1	0	1	0	1
onbelangrijk	matter	0	0	0	-1	0	1	1	0	0
wetgevingsacties	explore	0	1	1	1	1	1	1	0	1
schriftelijke	write	1	1	1	1	1	1	1	0	1
goedgekeurd,	adopt	1	1	1	1	1	1	1	0	1
misdeelden	deprive	0	-1	0	-1	0	1	0	-1	0
prognoseanalyse	provide	1	1	1	1	1	1	1	0	1
opgewekte	generate	0	0	1	1	1	1	1	0	1
watergebieden	water	0	-1	0	-1	0	1	1	0	1
verlofdagen	leave	0	0	0	0	0	0	1	-1	0
voorgesteld,	propose	0	1	1	1	0	0	1	0	1
tegengewicht	order	0	0	0	-1	0	0	1	0	0
maximumsnelheden	speed	1	1	0	1	0	1	1	0	0
kaart	map	0	0	0	0	0	1	1	0	1
infrastructuurwerken	project	0	0	1	1	1	1	1	0	1
kaars	light	0	1	1	1	0	1	1	0	1
aankoopbeleid	purchase	1	1	1	1	1	1	0	0	1
opleidingsmethode	train	1	1	1	1	1	1	1	1	1
Belg	compare	0	0	0	0	0	1	1	0	0
contractvrijheid	contract	-1	0	-1	0	-1	-1	1	0	-1
mensenrechtenprobleem	issue	0	0	0	1	0	1	1	0	0
team	team	0	0	0	1	1	0	1	0	1
groeipercentages	rate	0	1	0	1	0	0	1	0	0
cadeaus	present	1	1	1	1	1	1	1	0	1
prevent	prevent	0	0	0	-1	0	1	1	-1	0
bedoelt	mean	0	0	0	0	0	-1	0	0	0
belaste	survey	0	1	0	1	0	1	1	0	0
pioniers	pioneer	1	1	0	1	0	1	1	0	1
persfunctionaris	press	0	1	0	-1	0	1	1	-1	0
erbinnen	go	0	0	0	0	0	0	1	0	0
Quisthoudt-Rowohl	have	1	1	1	0	0	1	1	0	1
demografie	support	1	1	1	1	0	1	1	1	1
bedoeld	intend	0	0	0	1	0	1	1	0	1
projectbasis	project	0	0	1	1	1	1	1	0	1
megaprojecten	project	0	0	1	1	1	1	1	0	1
standpuntwijziging	be	0	1	0	0	0	0	1	0	1
wegleidt	move	0	0	0	1	0	1	1	0	0
binnengevaren	enter	1	1	1	0	1	1	1	0	1
Zuid-Soedan	create	1	1	0	1	1	1	1	0	0
resultaat	result	0	0	0	0	1	0	1	0	0
inperkings-	present	1	1	1	1	1	1	1	0	1
brevettering	prepare	1	1	1	1	1	1	1	1	1
verwijzingsprocedure	process	0	0	1	1	1	1	1	0	0
verharden	strengthen	1	1	0	1	0	1	1	1	0
Popper	say	0	0	0	0	0	0	1	0	0
geïnstitutionaliseerde	redirect	0	0	0	1	0	0	1	0	0
kostenbeoordeling	forward	1	1	0	1	1	1	1	0	1
verslag-Lamfalussy	report	0	0	-1	1	0	0	1	0	-1
oorzaken	cause	-1	-1	0	0	0	-1	0	0	0
-norm	force	0	0	0	-1	0	1	0	-1	0
zoekverkeer	look	0	1	1	0	0	0	1	0	1
zuurstoftoevoer	be	0	1	0	0	0	0	1	0	1
beprijzing	price	0	0	1	1	1	0	1	0	1
volatiel	raise	0	0	1	1	0	0	1	0	1
voluntaristisch	base	0	1	1	1	1	1	1	0	1
diffuus	be	0	1	0	0	0	0	1	0	1
classificatiecriteria	relate	0	1	1	1	0	1	1	0	1
voorzichtigheidsprincipe	apply	0	1	1	1	1	1	1	0	1
aftekent	emerge	1	1	0	0	0	1	1	0	1
Mondiale	own	0	1	1	1	1	1	1	0	1
werkgelegenheidsrichtlijnen	make	0	0	0	1	0	0	1	0	0
opvijzelt	own	0	1	1	1	1	1	1	0	1
leengelden	start	1	1	1	1	1	1	1	0	1
barbaren	smash	0	-1	-1	-1	0	1	0	-1	0
programma-BIOMED	project	0	0	1	1	1	1	1	0	1
bunkeren	water	0	-1	0	-1	0	1	1	0	1
aanhaalt	cite	0	1	0	0	1	1	1	0	1
signaalfunctie	signal	0	0	0	1	0	0	1	0	0
landbouwsysteem	farm	0	1	1	1	1	1	1	0	1
dienstregelingen	schedule	1	1	1	1	1	1	1	0	1
rechtsbevoegd	do	1	1	1	0	0	1	1	0	1
Gemeenschapsmerken	mark	0	1	0	0	0	1	1	0	0
love	love	1	1	1	1	1	1	1	1	1
glanzende	weight	0	-1	0	1	0	1	-1	0	0
machtsconflicten	power	1	0	0	0	0	0	1	0	1
Friedrich	touch	1	0	1	0	0	1	1	0	1
arbeidsterreinen	form	1	1	1	1	1	1	1	0	1
Uniehebben	have	1	1	1	0	0	1	1	0	1
gasnet	receive	1	1	1	0	1	1	1	0	1
rechtsfiguur	insert	0	1	1	1	0	0	1	0	1
allesoverheersende	override	0	0	0	-1	0	1	1	0	0
dwingender	hand	1	1	0	1	1	1	1	0	1
zelfdiagnose	require	0	1	1	0	1	1	1	0	0
Bologna-proces	process	0	0	1	1	1	1	1	0	0
inschakelt	function	0	1	0	1	1	1	1	0	0
gezondheidsomstandigheden	purchase	1	1	1	1	1	1	0	0	1
bodemregelgeving	put	1	1	1	0	1	1	1	0	1
recyclingspercentage	recycle	0	0	1	1	1	1	0	0	1
kassa	purchase	1	1	1	1	1	1	0	0	1
sluitingsdatums	mitigate	0	0	0	0	0	0	1	0	0
moslimland	state	0	1	1	1	0	1	1	0	0
gidsland	lead	0	1	1	1	1	0	1	0	1
kandidaat-steden	give	0	1	1	0	0	0	1	0	1
minstbegunstigde	farm	0	1	1	1	1	1	1	0	1
havendienstverlening	provide	1	1	1	1	1	1	1	0	1
aanleren	learn	1	1	1	0	1	1	1	0	1
verlanglijsten	list	0	0	0	1	0	0	1	0	1
ontwikkelingsgelden	fund	1	1	1	1	1	1	1	0	1
Cermis	extend	0	1	1	1	1	1	1	0	1
politiemacht	police	0	0	0	-1	0	1	1	0	0
kredietverlenende	lend	1	1	1	1	1	1	1	0	1
voorrangsprincipes	be	0	1	0	0	0	0	1	0	1
beleidsplannen	plan	1	1	1	1	1	1	1	0	1
veiligheidsvoorraden	stock	0	0	1	1	1	1	1	0	1
ALDE-Fractie.-	incorporate	0	0	1	1	0	1	1	0	1
mijnbouwindustrie	mine	0	0	0	1	0	1	1	0	0
arbeidsvoorwaarden	work	1	1	1	1	0	1	1	0	1
reportage	report	0	0	-1	1	0	0	1	0	-1
values	value	1	1	1	1	0	1	1	1	1
splijtbaar	verify	1	1	1	1	1	1	1	0	1
WTO-panelprocedure	suffer	-1	1	-1	0	-1	-1	1	0	-1
bewerkte	process	0	0	1	1	1	1	1	0	0
overkoepelt	enable	1	1	0	1	1	1	1	1	0
denkbaar	be	0	1	0	0	0	0	1	0	1
opmerken.De	close	0	1	1	0	0	1	1	0	1
stemvolgorde	vote	0	0	0	1	1	1	1	0	0
schitterde	distinguish	1	0	0	1	0	1	1	1	0
wereldoorlogen	leave	0	0	0	0	0	0	1	-1	0
Federal	question	0	0	1	1	1	1	1	0	1
verslag-Tongue	report	0	0	-1	1	0	0	1	0	-1
valutaoorlogen	desire	1	1	1	1	0	1	1	1	1
Eindelijk	last	0	0	0	0	0	-1	-1	0	0
kerninstallaties	power	1	0	0	0	0	0	1	0	1
tekortschiet	be	0	1	0	0	0	0	1	0	1
verblind	blind	0	0	-1	-1	0	1	1	0	0
tiran	bully	0	-1	-1	-1	0	1	0	-1	1
verslag-Soltwedel-Schäfer	report	0	0	-1	1	0	0	1	0	-1
kritisch	take	1	1	1	0	1	1	1	0	1
globaliseringscrisis	order	0	0	0	-1	0	0	1	0	0
olie-export	export	0	0	1	0	1	1	1	0	1
gezondheidskundige	term	1	1	0	1	1	1	0	0	0
wereldhandelsbesprekingen	talk	0	0	0	0	0	1	1	0	0
onthoudt	abstain	0	0	-1	0	0	0	1	0	1
reispakket	be	0	1	0	0	0	0	1	0	1
spot	make	0	0	0	1	0	0	1	0	0
loonsverhogingen	wage	0	1	1	1	1	1	1	0	1
reguleringsinstanties	introduce	1	1	1	1	1	1	1	1	1
wiskundige	sort	0	0	0	1	0	1	1	0	0
ontslagverbod	ban	0	-1	-1	-1	0	1	1	0	0
samenwerkingsprogramma	run	0	1	1	1	1	1	1	0	1
voorlichtingsprogramma's	go	0	0	0	0	0	0	1	0	0
UNIFEM	call	0	0	1	1	0	1	1	0	1
2.000	be	0	1	0	0	0	0	1	0	1
opsommingen	list	0	0	0	1	0	0	1	0	1
machtsbelangen	power	1	0	0	0	0	0	1	0	1
gegoochel	play	1	1	1	1	1	1	1	0	1
geïntensiveerde	intensify	0	0	0	0	0	1	0	0	0
herzienings-	review	0	0	0	1	0	1	1	0	0
twaalfmijlszone	zone	0	0	0	0	0	0	1	0	0
gekraakt	do	1	1	1	0	0	1	1	0	1
vervoersgebieden	live	1	1	1	1	1	1	1	0	1
esthetisch	term	1	1	0	1	1	1	0	0	0
dreigde	threaten	0	-1	-1	-1	0	1	1	-1	-1
ACS-secretariaat	function	0	1	0	1	1	1	1	0	0
filmden	be	0	1	0	0	0	0	1	0	1
usances	practice	0	0	1	1	0	0	1	0	0
ballingen	exile	0	0	-1	-1	0	1	1	-1	0
onverdeeld	mix	0	0	0	1	1	0	1	0	1
hiaten	be	0	1	0	0	0	0	1	0	1
lichaamsscanners	create	1	1	0	1	1	1	1	0	0
ratingsector	credit	1	0	1	1	1	1	1	1	1
kond	reveal	0	0	0	1	0	1	1	0	0
geobjectiveerd	accord	1	0	0	1	0	1	1	0	1
verbloeming	disguise	0	0	-1	0	0	0	1	0	1
kandidaat-lid	state	0	1	1	1	0	1	1	0	0
HIV/aids	scale	0	0	0	0	0	0	1	0	0
Basma	total	0	0	0	0	0	1	1	0	0
onderminister	forward	1	1	0	1	1	1	1	0	1
vliegtijd	time	0	0	1	0	1	0	1	0	1
gevangenzetten	imprison	0	-1	-1	-1	0	1	0	-1	0
recyclingpercentages	recycle	0	0	1	1	1	1	0	0	1
uitgiften	issue	0	0	0	1	0	1	1	0	0
beschermheerschap	like	1	1	1	1	0	1	1	1	1
belandde	come	0	1	0	0	0	0	1	0	0
oppervlakte-eenheid	aid	1	1	1	1	0	1	1	1	1
visionaire	forward	1	1	0	1	1	1	1	0	1
landbouwrampenfonds	fund	1	1	1	1	1	1	1	0	1
bezochten	visit	1	1	1	1	1	1	1	1	1
milieucriminaliteit	regard	1	1	1	1	1	1	1	1	1
Sovjetautoriteiten	consider	1	1	1	1	1	1	1	0	1
dwanglicentie	manufacture	1	1	1	1	1	1	1	0	1
rokende	smoke	0	0	1	-1	0	1	1	0	1
ferrylijndiensten	ferry	0	0	0	1	1	1	0	-1	1
olievoorraad	supply	0	0	1	1	1	1	1	0	1
laagopgeleide	fly	0	1	1	0	0	0	1	0	1
EU-standpunt	position	0	0	0	1	0	1	1	0	0
schaalvruchten	deny	0	0	-1	-1	0	1	1	0	-1
bijwerken	update	0	1	0	1	1	1	1	0	1
Biagio	account	0	0	0	0	0	1	1	0	0
ketenproblematiek	regard	1	1	1	1	1	1	1	1	1
vastgebeten	chew	0	1	1	1	0	1	1	0	1
begrotingseffecten	strike	1	1	0	0	0	1	1	0	0
implementatiefase	phase	0	0	0	1	1	0	1	0	0
Euromediterrane	field	0	0	1	1	1	1	1	0	0
Voorjaarsraad	spring	1	1	1	1	1	1	1	0	1
stemintentie	vote	0	0	0	1	1	1	1	0	0
ruggespraak	consult	1	1	1	1	1	1	1	1	1
Kerstcadeau	present	1	1	1	1	1	1	1	0	1
Spaans-	say	0	0	0	0	0	0	1	0	0
daadwerkelijke	provide	1	1	1	1	1	1	1	0	1
terbeschikkinggestelde	post	0	1	1	1	0	1	1	0	1
IMO-voorschriften	rule	1	1	1	1	1	1	1	0	1
allesbepalende	define	0	0	0	1	1	1	1	0	0
marktsanering	market	0	0	0	1	1	1	1	0	1
status-quomethode	be	0	1	0	0	0	0	1	0	1
verwarder	confuse	0	0	0	-1	0	1	1	-1	0
werkgelegenheidsvormen	form	1	1	1	1	1	1	1	0	1
rechtswaarborgen	guarantee	1	1	1	1	1	1	1	1	1
openbare-dienstverplichting	stress	0	0	1	1	0	1	1	0	0
NAVO-bondgenoot	ally	0	0	0	0	0	1	1	0	1
container	can	0	0	0	0	0	1	1	0	1
gezinsverantwoordelijkheden	prevent	0	0	0	-1	0	1	1	-1	0
demonstreerden	demonstrate	0	0	1	1	0	1	1	0	1
toevoerwegen	route	0	0	0	0	0	1	1	0	0
scheepsbemanningen	ship	1	0	1	1	0	1	1	0	1
onrust	concern	1	-1	0	-1	0	1	1	-1	0
sigarettenproducenten	displace	0	0	0	-1	0	1	0	-1	0
Schengen-Verdrag	sign	0	0	1	1	1	1	1	0	1
road-maps	feel	1	1	1	0	0	0	1	0	1
Jom	perpetrate	0	0	-1	-1	0	1	1	0	1
lidmaatschapsonderhandelingen	begin	1	1	1	1	0	1	1	0	1
verantwoord	justify	0	0	1	1	1	1	1	0	1
traumatisch	be	0	1	0	0	0	0	1	0	1
onderhandelende	negotiate	1	1	1	1	1	1	1	0	1
Spaanse	rotate	0	0	0	0	0	1	1	0	0
landsdelen	pursue	0	1	1	0	0	1	1	0	1
verloochen	renounce	0	0	-1	-1	0	1	1	0	-1
Ivorese	refuse	0	0	-1	-1	0	1	1	-1	0
krijgsrecht	light	0	1	1	1	0	1	1	0	1
Benavides	comment	0	0	0	0	0	1	1	0	1
vetmesten	sell	0	0	0	0	1	1	1	0	1
televisiemakers	make	0	0	0	1	0	0	1	0	0
21	write	1	1	1	1	1	1	1	0	1
koperen	lead	0	1	1	1	1	0	1	0	1
uitvoeringscapaciteiten	develop	0	1	0	1	0	0	1	0	0
ordedebat	order	0	0	0	-1	0	0	1	0	0
democraten	force	0	0	0	-1	0	1	0	-1	0
-lijst	list	0	0	0	1	0	0	1	0	1
motorrijtuigen	respect	1	1	1	1	0	1	1	1	1
afdekking	seal	0	0	0	1	0	1	0	0	0
rapportageplicht	report	0	0	-1	1	0	0	1	0	-1
afgezonderd	isolate	0	0	-1	-1	0	1	1	-1	0
onderzoekbeleid	research	0	-1	1	1	1	1	1	0	1
herleest	notice	1	1	1	0	1	1	1	0	0
Palestijn	consider	1	1	1	1	1	1	1	0	1
potten	be	0	1	0	0	0	0	1	0	1
postimperialistische	maintain	1	0	1	1	0	1	1	0	1
onthield	abstain	0	0	-1	0	0	0	1	0	1
schuilhoudt	be	0	1	0	0	0	0	1	0	1
oliemaatschappijen	propose	0	1	1	1	0	0	1	0	1
bedrijfsnaam	name	0	1	1	1	1	1	1	0	1
afbreekt	break	0	0	-1	-1	1	1	1	0	1
visserij-onderbreking	suggest	1	1	1	1	0	1	1	0	1
winterslaap	force	0	0	0	-1	0	1	0	-1	0
aanbestedingscontracten	contract	-1	0	-1	0	-1	-1	1	0	-1
klinische	conduct	0	0	1	1	0	1	1	0	1
kernwapenproeven	test	0	1	1	0	1	1	1	0	1
klonken	be	0	1	0	0	0	0	1	0	1
zeetransporten	clean	0	1	1	1	0	0	1	0	1
stationeert	station	0	0	0	0	1	0	1	0	0
Pascale	meet	0	1	1	1	1	1	1	0	1
diepgewortelde	root	1	0	1	1	1	1	1	0	0
adepten	be	0	1	0	0	0	0	1	0	1
braakliggende	land	0	0	1	0	0	1	1	0	1
zaden	crop	0	0	1	0	1	1	1	0	1
zadel	power	1	0	0	0	0	0	1	0	1
huurmoord	kill	0	-1	-1	-1	-1	1	0	-1	-1
drugssmokkel	smuggle	0	0	-1	-1	1	1	0	-1	1
weg-railvervoer	transport	0	1	0	1	1	1	1	0	0
steviger	strengthen	1	1	0	1	0	1	1	1	0
1920	wage	0	1	1	1	1	1	1	0	1
geboortecijfers	rate	0	1	0	1	0	0	1	0	0
verslag-Duff-Voggenhuber	report	0	0	-1	1	0	0	1	0	-1
suikerstelsel	be	0	1	0	0	0	0	1	0	1
mammoettaak	top	0	0	1	0	1	1	1	0	1
vluchtprijzen	price	0	0	1	1	1	0	1	0	1
reisomstandigheden	travel	1	1	1	0	1	0	1	0	1
visserijbeschermingszone	be	0	1	0	0	0	0	1	0	1
financieringsconcept	be	0	1	0	0	0	0	1	0	1
beschermingsverplichtingen	note	0	0	0	0	0	0	1	0	0
aanvat	start	1	1	1	1	1	1	1	0	1
identiteitsbewijzen	document	0	0	0	0	0	1	1	0	0
weggeeft	give	0	1	1	0	0	0	1	0	1
toevertrouwd	be	0	1	0	0	0	0	1	0	1
disruptors	term	1	1	0	1	1	1	0	0	0
gebruiksveestapels	be	0	1	0	0	0	0	1	0	1
kostenverhogingen	increase	1	1	0	1	0	1	1	0	1
onbeperkt	limit	0	0	0	-1	0	1	1	0	0
Commissiepersoneel	staff	1	1	1	1	1	1	1	0	1
risiconiveaus	level	0	1	1	1	1	0	1	0	1
marktpraktijken	practice	0	0	1	1	0	0	1	0	0
Moskoumechanisme	prove	0	0	0	1	0	1	1	0	1
nettoresultaat	net	0	0	1	0	0	1	1	0	1
1928	force	0	0	0	-1	0	1	0	-1	0
devalueren	devalue	0	-1	0	-1	0	1	1	0	0
1929	level	0	1	1	1	1	0	1	0	1
Schengen-akkoorden	put	1	1	1	0	1	1	1	0	1
electriciteit	be	0	1	0	0	0	0	1	0	1
scheepsbouw	ship	1	0	1	1	0	1	1	0	1
EU-verslagen	report	0	0	-1	1	0	0	1	0	-1
belastingsstelsel	tax	0	0	1	1	1	0	1	0	1
kwartaalcijfers	term	1	1	0	1	1	1	0	0	0
gokspelen	gamble	0	0	1	0	0	1	1	0	1
AZF-fabriek	follow	0	0	1	1	1	1	1	0	1
-systemen	respond	0	1	0	0	0	1	1	0	1
piramides	follow	0	0	1	1	1	1	1	0	1
spelverbod	be	0	1	0	0	0	0	1	0	1
prijzenslag	price	0	0	1	1	1	0	1	0	1
sonderingen	have	1	1	1	0	0	1	1	0	1
afleidt	distract	0	-1	0	-1	0	1	0	-1	0
moederschapsuitkering	benefit	1	1	0	1	1	1	1	1	1
toelatingsgolf	place	0	0	1	1	1	1	1	0	1
28	sit	0	0	0	0	0	0	0	0	0
profilering	point	0	0	0	0	1	0	1	0	0
Europees-Afrikaans	test	0	1	1	0	1	1	1	0	1
EU-optreden	allow	1	1	1	1	0	1	1	1	1
substructuren	field	0	0	1	1	1	1	1	0	0
noemende	consider	1	1	1	1	1	1	1	0	1
toelatingsprocedure	license	0	1	1	1	1	1	1	0	1
arbeidstijdverlenging	wage	0	1	1	1	1	1	1	0	1
milieurechtbank	court	1	1	1	1	1	1	1	1	1
stemverloop	vote	0	0	0	1	1	1	1	0	0
ietsje	make	0	0	0	1	0	0	1	0	0
nalatende	continue	1	1	1	1	1	0	1	0	1
fileprobleem	do	1	1	1	0	0	1	1	0	1
circulatiebank	issue	0	0	0	1	0	1	1	0	0
benenwagen	leave	0	0	0	0	0	0	1	-1	0
quo.	report	0	0	-1	1	0	0	1	0	-1
stilte	silence	0	-1	-1	-1	0	1	0	-1	0
wijnhervorming	reform	1	1	0	1	0	1	1	0	1
vakbondsman	trade	0	1	1	1	1	1	1	0	1
principekwestie	matter	0	0	0	-1	0	1	1	0	0
opvolgend	word	0	1	0	0	0	0	1	0	0
achthonderdduizend	enter	1	1	1	0	1	1	1	0	1
eeuwig	be	0	1	0	0	0	0	1	0	1
verslag-Menéndez	report	0	0	-1	1	0	0	1	0	-1
shocktherapie	shock	0	0	0	-1	0	1	-1	-1	0
beleidsstuk	piece	0	0	0	0	1	0	1	0	1
broers	group	0	0	0	1	1	0	1	0	1
draagbaar	tear	0	0	-1	-1	0	1	1	0	0
arbeidsbetrekkingen	work	1	1	1	1	0	1	1	0	1
innovatiekracht	accord	1	0	0	1	0	1	1	0	1
opvangcentra	shelter	0	0	0	0	0	0	1	0	0
boekdrukkunst	print	1	0	1	0	1	0	1	0	1
bedrijfsvormen	do	1	1	1	0	0	1	1	0	1
buizen	correct	0	0	0	1	0	1	1	0	0
rijkdom	create	1	1	0	1	1	1	1	0	0
gezondheidsvraagstuk	issue	0	0	0	1	0	1	1	0	0
twistgesprekken	look	0	1	1	0	0	0	1	0	1
vluchtpogingen	claim	1	1	1	0	1	1	1	0	1
functionaliteit	function	0	1	0	1	1	1	1	0	0
woordenstrijd	word	0	1	0	0	0	0	1	0	0
tienvoudig	time	0	0	1	0	1	0	1	0	1
vreemdetaalonderwijs	immerse	0	1	0	1	0	1	1	0	1
ritje	have	1	1	1	0	0	1	1	0	1
dwaasheid	act	0	0	0	0	0	0	1	0	0
bedrijfssluiting	close	0	1	1	0	0	1	1	0	1
geboortegebied	remain	0	0	0	0	0	0	1	0	0
liquidatie	wind	0	1	0	0	0	1	1	0	1
krenterigheid	display	0	0	0	1	0	0	1	0	0
GALILEO-project	project	0	0	1	1	1	1	1	0	1
dialectisch	formulate	1	1	1	1	1	1	1	0	1
kostenverlaging	cost	0	-1	0	0	0	0	1	-1	0
simpelste	accompany	1	1	1	1	1	1	1	1	1
middellangetermijnevaluatie	term	1	1	0	1	1	1	0	0	0
Opportunities	make	0	0	0	1	0	0	1	0	0
Brenner-basistunnel	base	0	1	1	1	1	1	1	0	1
loffelijk	plunge	0	-1	0	-1	0	0	1	-1	0
softwareontwikkelaars	face	0	0	0	0	1	1	1	0	1
huurmoordenaars	hire	1	1	1	1	1	1	1	1	1
gerijmd	reconcile	1	1	0	1	1	1	1	1	0
opleidingswezen	go	0	0	0	0	0	0	1	0	0
wantrouwig	distrust	0	-1	-1	-1	0	1	1	-1	1
visserijfonds	fund	1	1	1	1	1	1	1	0	1
voedselbronnen	preserve	1	1	1	1	0	1	1	0	1
UNMIK	support	1	1	1	1	0	1	1	1	1
verslag-Jensen	report	0	0	-1	1	0	0	1	0	-1
cocablad	apply	0	1	1	1	1	1	1	0	1
regeringsconferentie	change	0	1	0	1	0	1	1	0	1
uw	own	0	1	1	1	1	1	1	0	1
beschermingsinrichtingen	rear	0	0	0	0	1	1	1	0	0
overgangssituatie	word	0	1	0	0	0	0	1	0	0
synergetische	link	1	1	1	1	1	1	1	0	0
gezaghebbend	respect	1	1	1	1	0	1	1	1	1
uitgavenzijde	side	0	0	0	0	1	0	1	0	0
automatische	market	0	0	0	1	1	1	1	0	1
marktregeling	market	0	0	0	1	1	1	1	0	1
Raadszitting	meet	0	1	1	1	1	1	1	0	1
recordwinsten	profit	1	0	1	0	1	1	1	0	1
Commissiedelegaties	cover	0	0	0	1	1	1	1	0	0
uitroept	declare	0	0	1	0	0	1	1	0	1
brandstoftank	fuel	0	0	0	1	1	1	1	0	1
uitgavenplafonds	set	0	0	1	1	1	1	1	0	1
attractieve	term	1	1	0	1	1	1	0	0	0
schoonheidsfout	flaw	0	0	0	0	0	1	1	0	0
verkiezingskandidaten	murder	0	-1	-1	-1	-1	1	0	-1	-1
startfinanciering	finance	1	1	1	1	1	1	1	0	1
Castex-verslag	report	0	0	-1	1	0	0	1	0	-1
versleuteling	be	0	1	0	0	0	0	1	0	1
Mafra	remind	1	1	1	1	0	1	1	0	0
waternetwerken	water	0	-1	0	-1	0	1	1	0	1
twijfelden	doubt	0	0	-1	-1	0	1	1	0	-1
animositeit	sit	0	0	0	0	0	0	0	0	0
investeringsprikkels	put	1	1	1	0	1	1	1	0	1
Florenzverslag	report	0	0	-1	1	0	0	1	0	-1
Vaticaan	act	0	0	0	0	0	0	1	0	0
affakkelen	burn	0	-1	-1	-1	0	1	1	-1	0
futiliteit	do	1	1	1	0	0	1	1	0	1
clearingprocedure	clear	0	1	1	1	1	1	1	0	1
doodlopende	blind	0	0	-1	-1	0	1	1	0	0
delocatie	move	0	0	0	1	0	1	1	0	0
luchtvaartverbinding	link	1	1	1	1	1	1	1	0	0
d'Aboville	have	1	1	1	0	0	1	1	0	1
snelst	be	0	1	0	0	0	0	1	0	1
Gaulle	express	-1	0	0	0	1	0	1	0	0
Mundusprogramma	vote	0	0	0	1	1	1	1	0	0
ICT-gebied	field	0	0	1	1	1	1	1	0	0
communicatievormen	form	1	1	1	1	1	1	1	0	1
milieuafspraken	give	0	1	1	0	0	0	1	0	1
